date,symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl_inr,exit_reason
2026-04-17,ADANIPORTS,ORB,BUY,09:34,11:50,1577.0,1556.0,142,-2982.0,ORB_FAILED
2026-04-17,SUZLON,ORB,BUY,09:42,15:10,51.63999938964844,52.720001220703125,4357,4705.57,SQUARE_OFF
2026-04-17,HINDCOPPER,ORB,BUY,09:48,15:10,565.5,570.0,397,1786.5,SQUARE_OFF
2026-04-17,PNB,ORB,BUY,10:05,15:10,114.16000366210938,114.4800033569336,1970,630.4,SQUARE_OFF
2026-04-22,MARUTI,ORB,SELL,10:05,15:11,13390.0,13317.0,16,1168.0,SQUARE_OFF
2026-04-22,INFY,ORB,SELL,10:09,15:11,1272.300048828125,1269.199951171875,176,545.62,SQUARE_OFF
2026-04-22,HCLTECH,ORB,SELL,10:35,15:11,1300.9000244140625,1286.5,172,2476.8,SQUARE_OFF
2026-04-29,ADANIGREEN,ORB,BUY,09:34,09:55,1269.9000244140625,1255.800048828125,177,-2495.7,ORB_FAILED
2026-04-29,ADANIENT,ORB,BUY,09:34,11:23,2441.39990234375,2410.0,92,-2888.79,ORB_FAILED
2026-04-29,INFY,ORB,BUY,09:40,15:11,1164.9000244140625,1168.0999755859375,193,617.59,SQUARE_OFF
2026-04-29,HCLTECH,ORB,BUY,09:42,15:11,1203.9000244140625,1200.9000244140625,186,-558.0,SQUARE_OFF
2026-04-29,M&M,ORB,BUY,09:49,15:11,3147.199951171875,3157.10009765625,71,702.91,SQUARE_OFF
2026-04-29,INDUSINDBK,ORB,BUY,09:55,15:11,910.9500122070312,915.0,246,996.3,SQUARE_OFF
